"","USUBJID","SPREFID","DOSDUR","ROUTE","LBTESTCD","LBCAT","LBORRES","LBORRESU","LBDY","LBMETHOD","LBSPEC","SEX","INITBW","SPECIES","STRAIN","TRTV","START_YEAR","AGE","AGEU","anesthetics"
"493","Study-07-0005","Study-07","4 week","ORAL GAVAGE","BW_D1","",204,"g",1,"","","M",204,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"494","Study-07-0005","Study-07","4 week","ORAL GAVAGE","BW_D14","",285,"g",14,"","","M",204,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"495","Study-07-0005","Study-07","4 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",35,"iBroker:Na-ISE","SERUM","M",204,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"496","Study-07-0006","Study-07","4 week","ORAL GAVAGE","BW_D1","",224,"g",1,"","","M",224,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"497","Study-07-0006","Study-07","4 week","ORAL GAVAGE","BW_D28","",303,"g",28,"","","M",224,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"498","Study-07-0006","Study-07","4 week","ORAL GAVAGE","BW_D14","",275,"g",14,"","","M",224,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"499","Study-07-0007","Study-07","4 week","ORAL GAVAGE","BW_D28","",338,"g",28,"","","M",210,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"500","Study-07-0007","Study-07","4 week","ORAL GAVAGE","BW_D14","",289,"g",14,"","","M",210,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"501","Study-07-0007","Study-07","4 week","ORAL GAVAGE","BW_D1","",210,"g",1,"","","M",210,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"502","Study-07-0008","Study-07","4 week","ORAL GAVAGE","BW_D1","",210,"g",1,"","","M",210,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"503","Study-07-0008","Study-07","4 week","ORAL GAVAGE","BW_D28","",338,"g",28,"","","M",210,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"504","Study-07-0008","Study-07","4 week","ORAL GAVAGE","BW_D14","",289,"g",14,"","","M",210,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"505","Study-07-0009","Study-07","4 week","ORAL GAVAGE","BW_D1","",211,"g",1,"","","M",211,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"506","Study-07-0009","Study-07","4 week","ORAL GAVAGE","BW_D28","",307,"g",28,"","","M",211,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"507","Study-07-0009","Study-07","4 week","ORAL GAVAGE","BW_D14","",272,"g",14,"","","M",211,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"508","Study-07-0010","Study-07","4 week","ORAL GAVAGE","BW_D1","",224,"g",1,"","","M",224,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"509","Study-07-0010","Study-07","4 week","ORAL GAVAGE","BW_D14","",289,"g",14,"","","M",224,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"510","Study-07-0010","Study-07","4 week","ORAL GAVAGE","BW_D28","",320,"g",28,"","","M",224,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,8,"weeks","CO2/air"
"511","Study-08-0001","Study-08","4 week","INTRAGASTRIC","BW_D1","",181,"g",1,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"512","Study-08-0001","Study-08","4 week","INTRAGASTRIC","BW_D14","",264,"g",14,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"513","Study-08-0001","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.34,"T/l",28,"iBroker:ERY","PLASMA","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"514","Study-08-0001","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.09,"mmol/l",28,"iBroker:P","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"515","Study-08-0001","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",151,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"516","Study-08-0001","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",6.3,"mmol/l",28,"iBroker:K-ISE","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"517","Study-08-0001","Study-08","4 week","INTRAGASTRIC","BW_D28","",309,"g",28,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"518","Study-08-0002","Study-08","4 week","INTRAGASTRIC","BW_D1","",186,"g",1,"","","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"519","Study-08-0002","Study-08","4 week","INTRAGASTRIC","BW_D14","",278,"g",14,"","","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"520","Study-08-0002","Study-08","4 week","INTRAGASTRIC","BW_D28","",344,"g",28,"","","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"521","Study-08-0002","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",148,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"522","Study-08-0002","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.61,"T/l",28,"iBroker:ERY","PLASMA","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"523","Study-08-0002","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",7.9,"mmol/l",28,"iBroker:K-ISE","SERUM","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"524","Study-08-0002","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.44,"mmol/l",28,"iBroker:P","SERUM","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"525","Study-08-0003","Study-08","4 week","INTRAGASTRIC","BW_D14","",272,"g",14,"","","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"526","Study-08-0003","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",153,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"527","Study-08-0003","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",6.9,"mmol/l",28,"iBroker:K-ISE","SERUM","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"528","Study-08-0003","Study-08","4 week","INTRAGASTRIC","BW_D28","",323,"g",28,"","","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"529","Study-08-0003","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",7.98,"T/l",28,"iBroker:ERY","PLASMA","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"530","Study-08-0003","Study-08","4 week","INTRAGASTRIC","BW_D1","",193,"g",1,"","","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"531","Study-08-0003","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.18,"mmol/l",28,"iBroker:P","SERUM","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"532","Study-08-0004","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3,"mmol/l",28,"iBroker:P","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"533","Study-08-0004","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",149,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"534","Study-08-0004","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.06,"T/l",28,"iBroker:ERY","PLASMA","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"535","Study-08-0004","Study-08","4 week","INTRAGASTRIC","BW_D1","",181,"g",1,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"536","Study-08-0004","Study-08","4 week","INTRAGASTRIC","BW_D14","",264,"g",14,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"537","Study-08-0004","Study-08","4 week","INTRAGASTRIC","BW_D28","",323,"g",28,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"538","Study-08-0004","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",4.7,"mmol/l",28,"iBroker:K-ISE","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"539","Study-08-0005","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.3,"mmol/l",28,"iBroker:P","SERUM","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"540","Study-08-0005","Study-08","4 week","INTRAGASTRIC","BW_D28","",321,"g",28,"","","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"541","Study-08-0005","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",148,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"542","Study-08-0005","Study-08","4 week","INTRAGASTRIC","BW_D1","",199,"g",1,"","","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"543","Study-08-0005","Study-08","4 week","INTRAGASTRIC","BW_D14","",279,"g",14,"","","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"544","Study-08-0005","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.14,"T/l",28,"iBroker:ERY","PLASMA","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"545","Study-08-0005","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",7.1,"mmol/l",28,"iBroker:K-ISE","SERUM","M",199,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"546","Study-08-0006","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.28,"mmol/l",28,"iBroker:P","SERUM","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"547","Study-08-0006","Study-08","4 week","INTRAGASTRIC","BW_D1","",182,"g",1,"","","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"548","Study-08-0006","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",6.6,"mmol/l",28,"iBroker:K-ISE","SERUM","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"549","Study-08-0006","Study-08","4 week","INTRAGASTRIC","BW_D14","",263,"g",14,"","","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"550","Study-08-0006","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",150,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"551","Study-08-0006","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",7.85,"T/l",28,"iBroker:ERY","PLASMA","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"552","Study-08-0006","Study-08","4 week","INTRAGASTRIC","BW_D28","",310,"g",28,"","","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"553","Study-08-0007","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.63,"mmol/l",28,"iBroker:P","SERUM","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"554","Study-08-0007","Study-08","4 week","INTRAGASTRIC","BW_D14","",273,"g",14,"","","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"555","Study-08-0007","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",148,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"556","Study-08-0007","Study-08","4 week","INTRAGASTRIC","BW_D28","",318,"g",28,"","","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"557","Study-08-0007","Study-08","4 week","INTRAGASTRIC","BW_D1","",183,"g",1,"","","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"558","Study-08-0007","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.41,"T/l",28,"iBroker:ERY","PLASMA","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"559","Study-08-0007","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",7.8,"mmol/l",28,"iBroker:K-ISE","SERUM","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"560","Study-08-0008","Study-08","4 week","INTRAGASTRIC","BW_D1","",187,"g",1,"","","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"561","Study-08-0008","Study-08","4 week","INTRAGASTRIC","BW_D28","",390,"g",28,"","","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"562","Study-08-0008","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.71,"mmol/l",28,"iBroker:P","SERUM","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"563","Study-08-0008","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",150,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"564","Study-08-0008","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",7.75,"T/l",28,"iBroker:ERY","PLASMA","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"565","Study-08-0008","Study-08","4 week","INTRAGASTRIC","BW_D14","",309,"g",14,"","","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"566","Study-08-0008","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",7,"mmol/l",28,"iBroker:K-ISE","SERUM","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"567","Study-08-0009","Study-08","4 week","INTRAGASTRIC","BW_D14","",258,"g",14,"","","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"568","Study-08-0009","Study-08","4 week","INTRAGASTRIC","BW_D28","",304,"g",28,"","","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"569","Study-08-0009","Study-08","4 week","INTRAGASTRIC","BW_D1","",182,"g",1,"","","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"570","Study-08-0009","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",6.6,"mmol/l",28,"iBroker:K-ISE","SERUM","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"571","Study-08-0009","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.31,"T/l",28,"iBroker:ERY","PLASMA","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"572","Study-08-0009","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.51,"mmol/l",28,"iBroker:P","SERUM","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"573","Study-08-0009","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",153,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",182,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"574","Study-08-0010","Study-08","4 week","INTRAGASTRIC","BW_D1","",193,"g",1,"","","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"575","Study-08-0010","Study-08","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.2,"T/l",28,"iBroker:ERY","PLASMA","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"576","Study-08-0010","Study-08","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",6.7,"mmol/l",28,"iBroker:K-ISE","SERUM","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"577","Study-08-0010","Study-08","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",150,"mmol/l",28,"iBroker:Na-ISE","SERUM","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"578","Study-08-0010","Study-08","4 week","INTRAGASTRIC","BW_D14","",263,"g",14,"","","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"579","Study-08-0010","Study-08","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.65,"mmol/l",28,"iBroker:P","SERUM","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"580","Study-08-0010","Study-08","4 week","INTRAGASTRIC","BW_D28","",302,"g",28,"","","M",193,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2014,7,"weeks","CO2/air"
"581","Study-09-0001","Study-09","4 week","INTRAGASTRIC","BW_D1","",167,"g",1,"","","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"582","Study-09-0001","Study-09","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",149,"mmol/l",25,"iBroker:Na-ISE","SERUM","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"583","Study-09-0001","Study-09","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.09,"T/l",25,"iBroker:ERY","PLASMA","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"584","Study-09-0001","Study-09","4 week","INTRAGASTRIC","CA","CLINICAL CHEMISTRY",2.65,"mmol/l",25,"iBroker:CA-FARBT","SERUM","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"585","Study-09-0001","Study-09","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",4.59,"mmol/l",25,"iBroker:P","SERUM","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"586","Study-09-0001","Study-09","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",6.4,"mmol/l",25,"iBroker:K-ISE","SERUM","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"587","Study-09-0001","Study-09","4 week","INTRAGASTRIC","BW_D14","",268,"g",14,"","","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"588","Study-09-0001","Study-09","4 week","INTRAGASTRIC","BW_D28","",334,"g",28,"","","M",167,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"589","Study-09-0002","Study-09","4 week","INTRAGASTRIC","CA","CLINICAL CHEMISTRY",2.64,"mmol/l",25,"iBroker:CA-FARBT","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"590","Study-09-0002","Study-09","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",2.62,"mmol/l",25,"iBroker:P","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"591","Study-09-0002","Study-09","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8,"T/l",25,"iBroker:ERY","PLASMA","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"592","Study-09-0002","Study-09","4 week","INTRAGASTRIC","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",25,"iBroker:Na-ISE","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"593","Study-09-0002","Study-09","4 week","INTRAGASTRIC","BW_D28","",312,"g",28,"","","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"594","Study-09-0002","Study-09","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",4.4,"mmol/l",25,"iBroker:K-ISE","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"595","Study-09-0002","Study-09","4 week","INTRAGASTRIC","BW_D1","",173,"g",1,"","","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"596","Study-09-0002","Study-09","4 week","INTRAGASTRIC","BW_D14","",258,"g",14,"","","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"597","Study-09-0003","Study-09","4 week","INTRAGASTRIC","BW_D28","",318,"g",28,"","","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"598","Study-09-0003","Study-09","4 week","INTRAGASTRIC","CA","CLINICAL CHEMISTRY",2.65,"mmol/l",25,"iBroker:CA-FARBT","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"599","Study-09-0003","Study-09","4 week","INTRAGASTRIC","BW_D1","",173,"g",1,"","","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"600","Study-09-0003","Study-09","4 week","INTRAGASTRIC","K","CLINICAL CHEMISTRY",5.8,"mmol/l",25,"iBroker:K-ISE","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"601","Study-09-0003","Study-09","4 week","INTRAGASTRIC","PHOS","CLINICAL CHEMISTRY",3.57,"mmol/l",25,"iBroker:P","SERUM","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
"602","Study-09-0003","Study-09","4 week","INTRAGASTRIC","RBC","HEMATOLOGY",8.2,"T/l",25,"iBroker:ERY","PLASMA","M",173,"RAT","WISTAR HAN","EtOH/Kol HS15/TapWater(10:40:50)",2014,6,"weeks","CO2/air"
