SEDTS_ID,DOSDUR,EXPSTDTC,GLPFL,GLPTYP,HOUSEGRP,ROUTE,SEXPOP,SNDCTVER,SNDIGVER,SPECIES,SPLANSUB,SPLRLOC,SPLRNAM,SPREFID,SSPONSOR,SSTYP,STCAT,STRAIN,STSTYP,TRMSAC,TRTV,TSTFLOC,DOSENDTC,DOSSTDTC,PDOSFRQ,SBSTRAIN,PLANFSUB,PLANMSUB,TOTANPCH,START_YEAR,MTHTRM
1164,28,2017-02-28,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,300,"Sulzfeld,Germany",CHARLES RIVER,T103259-0,Bayer AG,REPEAT DOSE,TOX,"CD1 (outbred), Crl:CD1(Icr)",Oral by Gavage,"c(""P23D"", ""P29D"", ""P31D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1165,,2017-02-28,Y,Y,GROUP HOUSED,INTRAVENOUS BOLUS,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,32,,COVANCE,T103279-2,Bayer AG,REPEAT DOSE,TOX,CYNOMOLGUS,s.c.,P29D,AQUAADINIECTABILIA,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1166,28,2017-03-20,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,26,"Lyon Cedex 02,France",MARSHALL,T103292-7,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P29D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1167,49,2017-05-05,N,N,GROUP HOUSED,INTRAVENOUS,M,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,30,"Sulzfeld,Germany",CHARLES RIVER,T103406-4,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,i.v. Short injection,P50D,PBS,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1168,28,2017-05-30,Y,Y,GROUP HOUSED,INTRAVENOUS BOLUS,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,108,"Sulzfeld,Germany",CHARLES RIVER,T103425-5,Bayer AG,SUBACUTE,,WISTAR HAN,i.v. Short injection,P30D,0.9% SALINE SOLUTION,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1169,28,2017-06-02,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,54,"Sulzfeld,Germany",CHARLES RIVER,T103430-1,Bayer AG,SUBACUTE,,WISTAR HAN,Oral by Gavage,"c(""P23D"", ""P29D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1170,91,2017-07-25,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,84,"Sulzfeld,Germany",CHARLES RIVER,T103468-2,Bayer AG,SUBCHRONIC,,WISTAR HAN,Oral by Gavage,P92D,SMEEDS,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1171,28,2017-07-03,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,26,"Lyon Cedex 02,France",MARSHALL,T103491-8,Bayer AG,REPEAT DOSE,TOX,BEAGLE,Oral by Gavage,P29D,PEG400,"Berlin, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1172,91,2017-09-05,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,86,"Sulzfeld,Germany",CHARLES RIVER,T103529-0,Bayer AG,SUBCHRONIC,,WISTAR HAN,Oral by Gavage,P93D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1173,28,2016-01-12,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,126,"AD Horst,Netherland",HARLAN,T102218-4,Bayer AG,,,WISTAR HAN,Oral by Gavage,"c(""P25D"", ""P31D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1174,91,2016-01-19,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,126,"Sulzfeld,Germany",CHARLES RIVER,T102487-2,Bayer AG,,,WISTAR HAN,Oral by Gavage,"c(""P89D"", ""P95D"")",WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1175,28,2016-04-05,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,192,"Sulzfeld,Germany",CHARLES RIVER,T102551-4,Bayer AG,,,WISTAR HAN,Oral by Gavage,"c(""P18D"", ""P29D"")",PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1176,91,2016-06-14,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,408,"Sulzfeld,Germany",CHARLES RIVER,T102591-8,Bayer AG,,,WISTAR HAN,Oral by Gavage,"c(""P29D"", ""P2D"", ""P92D"")",TYLOSE,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1177,91,2016-02-09,Y,Y,SINGLE HOUSED,DIETARY,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,144,"Sulzfeld,Germany",CHARLES RIVER,T102599-6,Bayer AG,,,"CD1 (outbred), Crl:CD1(Icr)",Oral via Diet,"c(""P78D"", ""P93D"")",SSNIFFR/M-HALTUNG.MEHL,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1178,28,2016-02-23,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,146,"Sulzfeld,Germany",CHARLES RIVER,T102609-8,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,Oral by Gavage,"c(""P23D"", ""P30D"")",ETHANOL/KOLLIPHORHS15/WATER (10/40/50),"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1179,56,2016-03-08,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,333,"Sulzfeld,Germany",CHARLES RIVER,T102611-1,Bayer AG,,,"CD1 (outbred), Crl:CD1(Icr)",Oral by Gavage,"c(""P29D"", ""P50D"", ""P59D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1180,28,2016-04-12,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,148,"Sulzfeld,Germany",CHARLES RIVER,T102612-2,Bayer AG,SUBACUTE,Subacute,WISTAR WU,Oral by Gavage,P30D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1181,28,2016-03-18,Y,Y,GROUP HOUSED,NASAL,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,196,"Sulzfeld,Germany",CHARLES RIVER,T102640-3,Bayer AG,intranasal instillation,Intranasal Instillation,WISTAR HAN,,"c(""P29D"", ""P87D"")",PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1182,28,2016-06-14,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,150,"Sulzfeld,Germany",CHARLES RIVER,T102782-0,Bayer AG,,,WISTAR HAN,Oral by Gavage,"c(""P25D"", ""P30D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1183,42,2016-05-20,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,244,"Sulzfeld,Germany",CHARLES RIVER,T102784-2,Bayer AG,,,"CD1 (outbred), Crl:CD1(Icr)",Oral by Gavage,"c(""P32D"", ""P46D"")",ETHANOL/KOLLIPHORHS15/WATER (10/40/50),"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1184,91,2016-08-16,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,126,"Sulzfeld,Germany",CHARLES RIVER,T102952-9,Bayer AG,SUBCHRONIC,,WISTAR HAN,Oral by Gavage,P95D,METHYLCELLULOSE/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1185,28,2016-09-27,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,68,"Sulzfeld,Germany",CHARLES RIVER,T102964-2,Bayer AG,,,WISTAR HAN,Oral by Gavage,"c(""P19D"", ""P24D"")",PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1186,28,2016-10-18,Y,Y,GROUP HOUSED,INTRAVENOUS BOLUS,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,126,"Sulzfeld,Germany",CHARLES RIVER,T102998-9,Bayer AG,,,WISTAR HAN,i.v. Short injection,"c(""P22D"", ""P28D"")",0.9% SALINE SOLUTION,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1187,28,2016-10-11,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,66,"Sulzfeld,Germany",CHARLES RIVER,T103028-4,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,P30D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
1188,3,2020-02-11,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T104757-4,Bayer AG,REPEAT DOSE,TOX,CYNOMOLGUS,ORAL GAVAGE,,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1189,14,2020-02-25,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,24,"Sulzfeld,Germany",CHARLES RIVER,T104786-6,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,Oral by Gavage,P16D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1190,14,2020-03-05,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,24,"Sulzfeld,Germany",CHARLES RIVER,T104790-1,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,Oral by Gavage,P15D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1191,14,2020-03-10,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104795-6,Bayer AG,REPEAT DOSE,TOX,BEAGLE,Oral by Gavage,P15D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1192,14,2020-04-28,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,18,"Sulzfeld,Germany",CHARLES RIVER,T104809-2,Bayer AG,,,WISTAR HAN,Oral by Gavage,P16D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1193,14,2020-04-28,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,8,"Lyon Cedex 02,France",MARSHALL,T104812-6,Bayer AG,REPEAT DOSE,TOX,BEAGLE,Oral by Gavage,P15D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1194,14,2020-05-06,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104834-0,Bayer AG,REPEAT DOSE,TOX,BEAGLE,ORAL GAVAGE,P15D,VIT.-E-TPGS/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1195,3,2020-05-05,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T104860-9,Bayer AG,REPEAT DOSE,TOX,CYNOMOLGUS,ORAL GAVAGE,,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1196,14,2020-05-26,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,64,"Sulzfeld,Germany",CHARLES RIVER,T104862-1,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,ORAL GAVAGE,P15D,TYLOSE,"Wupperatal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1197,3,2020-05-26,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T104879-9,Bayer AG,REPEAT DOSE,TOX,CYNOMOLGUS,ORAL GAVAGE,,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1198,,2020-06-02,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,4,"Lyon Cedex 02,France",MARSHALL,T104908-2,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P14D,PEG400,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1199,14,2020-06-30,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,48,"Sulzfeld,Germany",CHARLES RIVER,T104925-1,Bayer AG,SUBACUTE,,WISTAR HAN,Oral by Gavage,P15D,WATERfI,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1200,14,2020-07-14,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,8,"AD Horst,Netherland",ENVIGO,T104950-9,Bayer AG,SUBACUTE,,CYNOMOLGUS,Oral by Gavage,P15D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1201,15,2020-08-25,Y,Y,SINGLE HOUSED,INTRAVENOUS,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,48,"Sulzfeld,Germany",CHARLES RIVER,T104961-1,Bayer AG,REPEAT DOSE,TOX,CD1(ICR),i.v. Short injection,P15D,DPBS,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1202,14,2020-11-03,N,N,SINGLE HOUSED,ORAL,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104972-3,Bayer AG,SUBACUTE,,BEAGLE,Oral,P15D,,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1203,14,2020-08-18,N,N,GROUP HOUSED,"c(""INTRAVENOUS"", ""SUBCUTANEOUS"")",BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,48,"Sulzfeld,Germany",CHARLES RIVER,T104973-4,Bayer AG,SUBACUTE,,WISTAR HAN,s.c.,P16D,DPBS,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1204,14,2020-08-18,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,8,,COVANCE,T104974-5,Bayer AG,SUBACUTE,,CYNOMOLGUS,Oral by Gavage,P15D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1205,21,2020-08-19,N,N,SINGLE HOUSED,"c(""INTRAVENOUS"", ""SUBCUTANEOUS"")",BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,6,"AD Horst,Netherland",ENVIGO,T104975-6,Bayer AG,SUBACUTE,,CYNOMOLGUS,s.c.,P15D,PBS(PH7.4),"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1206,3,2020-08-19,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T104977-8,Bayer AG,REPEAT DOSE,Repeated Dose Toxikokinetic Study,CYNOMOLGUS,Oral by Gavage,,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1207,273,2018-11-12,,"c(""MHRA"", ""OCED"")",GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND IMPLEMENTATION GUIDE VERSION 3.0,DOG,32,"Grimston, UK",MARSHALL,T104164-6,Bayer AG,REPEAT DOSE,TOX,BEAGLE,NULL,P40W,PEG400,"Otley Road, Harrogate, North Yorkshire, HG3 1PY",2019-09-12,2018-12-13,QD,NULL,NULL,NULL,NULL,2018,LETHAL INJECTION INTRAVENOUS
1208,273,2014-03-12,,"c(""MHRA"", ""OECD"")",GROUP HOUSED,ORAL GAVAGE,,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,,"North Rose, New York, USA",MARSHALL,T101260-0,Bayer Pharma AG,REPEAT DOSE,TOX,BEAGLE,NULL,P40W,PEG400,"Otley Road, Harrogate, North Yorkshire, HG3 1PY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
1209,3,2020-08-19,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T104978-9,Bayer AG,REPEAT DOSE,TOX,CYNOMOLGUS,ORAL GAVAGE,,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1210,14,2020-08-25,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,48,"Sulzfeld,Germany",CHARLES RIVER,T104992-5,Bayer AG,SUBACUTE,,WISTAR HAN,Oral by Gavage,P16D,WATERfI,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1211,14,2020-09-09,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,7,"Lyon Cedex 02,France",MARSHALL,T104994-7,Bayer AG,SUBACUTE,,BEAGLE,Oral by Gavage,P15D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1212,14,2020-09-08,N,N,GROUP HOUSED,INTRAVENOUS BOLUS,M,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,24,"Sulzfeld,Germany",CHARLES RIVER,T105005-1,Bayer AG,SUBACUTE,,WISTAR HAN,i.v. Short injection,P15D,TROMETAMOL-HCl,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1213,15,2020-10-27,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,48,"Sulzfeld,Germany",CHARLES RIVER,T105032-1,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,ORAL GAVAGE,P15D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1214,14,2020-10-06,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,8,"AD Horst,Netherland",ENVIGO,T105047-7,Bayer AG,SUBACUTE,,CYNOMOLGUS,Oral by Gavage,P15D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1215,15,2020-10-28,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,48,"Sulzfeld,Germany",CHARLES RIVER,T105048-8,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,ORAL GAVAGE,P14D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1216,14,2020-11-03,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,8,"AD Horst,Netherland",ENVIGO,T105070-3,Bayer AG,,,CYNOMOLGUS,Oral by Gavage,P15D,WATERfI,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020,
1217,14,2019-04-25,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,48,"Sulzfeld,Germany",CHARLES RIVER,T103923-8,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,Oral by Gavage,"c(""P16D"", ""P2D"")",MAISINEB,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1218,14,2019-03-26,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104153-4,Bayer AG,SUBACUTE,,BEAGLE,Oral by Gavage,P15D,PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1219,7,2019-01-08,Y,Y,GROUP HOUSED,INTRAVENOUS BOLUS,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,152,"Sulzfeld,Germany",CHARLES RIVER,T104241-2,Bayer AG,SUBACUTE,,WISTAR HAN,i.v. Short injection,"c(""P10D"", ""P8D"")",0.9% SALINE SOLUTION,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1220,14,2019-01-29,N,N,GROUP HOUSED,DIETARY,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,82,"Sulzfeld,Germany",CHARLES RIVER,T104278-2,Bayer AG,SUBACUTE,,WISTAR HAN,Oral,"c(""P15D"", ""P16D"")",SSNIFFR/M-HALTUNG.MEHL,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1221,7,2019-02-20,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,4,"Lyon Cedex 02,France",MARSHALL,T104317-6,Bayer AG,SUBACUTE,,BEAGLE,Oral by Gavage,P8D,TYLOSE,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1222,14,2019-02-19,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,52,"Sulzfeld,Germany",CHARLES RIVER,T104325-5,Bayer AG,SUBACUTE,,WISTAR HAN,Oral by Gavage,P15D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1223,4,2019-02-07,N,N,SINGLE HOUSED,ORAL GAVAGE,M,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104326-6,Bayer AG,REPEAT DOSE,TOX,BEAGLE,ORAL GAVAGE,,PEG400,"Berlin, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1224,3,2019-02-19,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,36,"Sulzfeld,Germany",CHARLES RIVER,T104328-8,Bayer AG,SUBACUTE,,WISTAR HAN,Oral by Gavage,P4D,ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
1231,28,2017-02-07,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,300,"Sulzfeld,Germany",CHARLES RIVER,T103130-8,Bayer AG,SUBACUTE,,"CD1 (outbred), Crl:CD1(Icr)",Oral by Gavage,"c(""P29D"", ""P2D"")",PEG400,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1232,91,2017-10-27,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MONKEY,26,,COVANCE,T103634-7,Bayer AG,REPEAT DOSE,TOX,CYNOMOLGUS,Oral by Gavage,P92D,ETHANOL/KOLLIPHORHS15/WATER,"Berlin, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
1233,91,2018-01-16,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,MOUSE,200,"Sulzfeld,Germany",CHARLES RIVER,T103679-6,Bayer AG,REPEAT DOSE,TOX,CD1(ICR),Oral by Gavage,"c(""P79D"", ""P93D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
1234,28,2018-06-05,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2020-05-08,SEND Implementation Guide Version 3.0,RAT,146,"Sulzfeld,Germany",CHARLES RIVER,T103925-0,Bayer AG,REPEAT DOSE,TOX,WISTAR HAN,Oral by Gavage,"c(""P22D"", ""P30D"", ""P9D"")",ETHANOL/KOLLIPHORHS15/WATER,"Wuppertal, Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
